Date,returns,volatility_20,trend_strength,range_20
2015-03-17,0.010442238346779709,0.00946693657452202,0.014990533676767514,0.012389933305246964
2015-03-18,-0.004287301239194297,0.009503133238914777,0.013599343090760047,0.012433829736058099
2015-03-19,-0.00590036699653107,0.009402815929088412,0.011650384476508947,0.012957347584300578
2015-03-20,-0.0073830435647072035,0.009440895481023599,0.008750809332012645,0.012725400878768561
2015-03-23,-0.002333477124745964,0.009365242356800285,0.00608471910659906,0.01264837071077399
2015-03-24,-0.000929749494125387,0.009205580190636971,0.004154076387289214,0.012427241983792258
2015-03-25,-0.0014222710360253243,0.009193568411354528,0.002258178859698364,0.012341652295813799
2015-03-26,-0.022113918786236364,0.010285285745842743,-0.00022635435072873247,0.01287615519045345
2015-03-27,-8.990487642646094e-05,0.01015888995635887,-0.0022885502602658747,0.013068259159913923
2015-03-30,0.018090417315550278,0.010114581932990543,-0.004801604667401177,0.0129364126353636
2015-03-31,-0.0001530568535489385,0.009525409689756585,-0.007466680735657773,0.013018376776537405
2015-04-01,0.011217759981156483,0.009904075115646546,-0.009983698070748422,0.013365301699759899
2015-04-06,0.00857771327704171,0.010086056072015065,-0.011738627306575298,0.012644640179823452
2015-04-07,4.612224673294918e-05,0.010065804002465218,-0.013249945626805029,0.012655659488591162
2015-04-08,0.006246964557533818,0.009176143437172086,-0.013458671610768457,0.012085225109741452
2015-04-09,0.007332623152276119,0.009247583340726425,-0.013116936640669822,0.012094532306159596
2015-04-10,0.0002335081659441407,0.009237996052952408,-0.012530627676411664,0.011979923266532777
2015-04-13,0.006110279546012176,0.009132598522201734,-0.012024498334306957,0.012120811384976898
2015-04-16,-0.014410211080767454,0.009115122891407096,-0.011215194950997712,0.011517043849407405
2015-04-17,-0.01156582781691673,0.009492814131176369,-0.010584226893440863,0.011817774318450209
2015-04-20,-0.01834770981001632,0.00997817280263441,-0.011345492690897739,0.012344375902380172
2015-04-21,-0.008327270348106652,0.010076821551821092,-0.012163819490885583,0.012561336787136177
2015-04-22,0.006200972255378856,0.010177688565228242,-0.012600378743323072,0.012536540744934436
2015-04-23,-0.0037249712205020824,0.010092309374351117,-0.012854442343194095,0.012951556517166424
2015-04-24,-0.011079600258562361,0.010341009072172287,-0.013345734383110713,0.013397648714263832
2015-04-27,-0.011011130948797465,0.010559991235266181,-0.014227217652569965,0.013663914123808824
2015-04-28,0.008741362876475867,0.010825877629880064,-0.015095510548703115,0.014070004248953197
2015-04-29,-0.005533650132347967,0.00973628908191169,-0.014945439842386691,0.013566569733808709
2015-04-30,-0.007069389241178392,0.009842590727404817,-0.014854015213588128,0.013220434839321282
2015-05-04,0.01838907233545184,0.00987313166862727,-0.01491638472365945,0.013317088424750661
2015-05-05,-0.0008581893143123631,0.00987155908820986,-0.01478175452661713,0.013200784841233576
2015-05-06,-0.02736399793773192,0.011067669904986059,-0.01599320255678544,0.013930685992001599
2015-05-07,-0.004903074634123761,0.010739380867597877,-0.017640882254600497,0.014167598272235923
2015-05-08,0.01665572816769534,0.011636424811809097,-0.018761719913073,0.014170824766874465
2015-05-11,0.01632790087285607,0.01224731904716935,-0.019868591161394285,0.014529153241827084
2015-05-12,-0.02381908107113906,0.012931596981690956,-0.02223692698228116,0.015242502476160338
