Date,returns,volatility_20,trend_strength,range_20,regime,Close
2015-03-17,0.0104422383467797,0.009466936574522,0.0149905336767675,0.0123899333052469,0,8723.2998046875
2015-03-18,-0.0042873012391942,0.0095031332389147,0.01359934309076,0.012433829736058,0,8685.900390625
2015-03-19,-0.005900366996531,0.0094028159290884,0.0116503844765089,0.0129573475843005,0,8634.650390625
2015-03-20,-0.0073830435647072,0.0094408954810235,0.0087508093320126,0.0127254008787685,1,8570.900390625
2015-03-23,-0.0023334771247459,0.0093652423568002,0.006084719106599,0.0126483707107739,1,8550.900390625
2015-03-24,-0.0009297494941253,0.0092055801906369,0.0041540763872892,0.0124272419837922,1,8542.9501953125
2015-03-25,-0.0014222710360253,0.0091935684113545,0.0022581788596983,0.0123416522958137,1,8530.7998046875
2015-03-26,-0.0221139187862363,0.0102852857458427,-0.0002263543507287,0.0128761551904534,1,8342.150390625
2015-03-27,-8.990487642646094e-05,0.0101588899563588,-0.0022885502602658,0.0130682591599139,1,8341.400390625
2015-03-30,0.0180904173155502,0.0101145819329905,-0.0048016046674011,0.0129364126353636,1,8492.2998046875
2015-03-31,-0.0001530568535489,0.0095254096897565,-0.0074666807356577,0.0130183767765374,1,8491.0
2015-04-01,0.0112177599811564,0.0099040751156465,-0.0099836980707484,0.0133653016997598,1,8586.25
2015-04-06,0.0085777132770417,0.010086056072015,-0.0117386273065752,0.0126446401798234,1,8659.900390625
2015-04-07,4.612224673294918e-05,0.0100658040024652,-0.013249945626805,0.0126556594885911,1,8660.2998046875
2015-04-08,0.0062469645575338,0.009176143437172,-0.0134586716107684,0.0120852251097414,1,8714.400390625
2015-04-09,0.0073326231522761,0.0092475833407264,-0.0131169366406698,0.0120945323061595,1,8778.2998046875
2015-04-10,0.0002335081659441,0.0092379960529524,-0.0125306276764116,0.0119799232665327,1,8780.349609375
2015-04-13,0.0061102795460121,0.0091325985222017,-0.0120244983343069,0.0121208113849768,1,8834.0
2015-04-16,-0.0144102110807674,0.009115122891407,-0.0112151949509977,0.0115170438494074,1,8706.7001953125
2015-04-17,-0.0115658278169167,0.0094928141311763,-0.0105842268934408,0.0118177743184502,1,8606.0
2015-04-20,-0.0183477098100163,0.0099781728026344,-0.0113454926908977,0.0123443759023801,1,8448.099609375
2015-04-21,-0.0083272703481066,0.010076821551821,-0.0121638194908855,0.0125613367871361,1,8377.75
2015-04-22,0.0062009722553788,0.0101776885652282,-0.012600378743323,0.0125365407449344,1,8429.7001953125
2015-04-23,-0.003724971220502,0.0100923093743511,-0.012854442343194,0.0129515565171664,1,8398.2998046875
2015-04-24,-0.0110796002585623,0.0103410090721722,-0.0133457343831107,0.0133976487142638,1,8305.25
2015-04-27,-0.0110111309487974,0.0105599912352661,-0.0142272176525699,0.0136639141238088,1,8213.7998046875
2015-04-28,0.0087413628764758,0.01082587762988,-0.0150955105487031,0.0140700042489531,1,8285.599609375
2015-04-29,-0.0055336501323479,0.0097362890819116,-0.0149454398423866,0.0135665697338087,1,8239.75
2015-04-30,-0.0070693892411783,0.0098425907274048,-0.0148540152135881,0.0132204348393212,1,8181.5
2015-05-04,0.0183890723354518,0.0098731316686272,-0.0149163847236594,0.0133170884247506,1,8331.9501953125
2015-05-05,-0.0008581893143123,0.0098715590882098,-0.0147817545266171,0.0132007848412335,1,8324.7998046875
2015-05-06,-0.0273639979377319,0.011067669904986,-0.0159932025567854,0.0139306859920015,1,8097.0
2015-05-07,-0.0049030746341237,0.0107393808675978,-0.0176408822546004,0.0141675982722359,1,8057.2998046875
